ARTIST NAME,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS,,,,,
A. R. Penck,German,1939,Null,Untitled,1980,Oil pastel on paper,1986.297.11,1986,Not on view,,,,,
A. R. Penck,German,1939,Null,Untitled,1974,Gouache on paper,"1,992.356",1992,Not on view,,,,,
A. Robert Birmelin,American,1933,Null,The Crowd at Night,1962,Crayon/ chalk/ graphite/ and oil on paper,67.127.9,1967,Not on view,,,,,
A. Robert Birmelin,American,1933,Null,City Crowd/ Cop and Ear,1980,Acrylic on canvas,"1,981.51",1981,Not on view,,,,,
A. Sheldon Pennoyer,American,1888,1957,Church of the Spirito Santo/ Ronda,1926,Oil on canvas,26.173,1926,Not on view,,,,,
Aaron A Shikler,American,1922,Null,"The Gold Screen, George Basso at the Organ",1957,Oil on canvas,57.82,1957,Not on view,,,,,
Aaron Bohrod,American,1907,1992,Frame Houses,1939,Gouache on cardboard,39.17,1939,Not on view,,,,,
Aaron Bohrod,American,1907,1992,Reflections on a Shop Window,1942,Oil on gesso panel,42.161,1942,Not on view,,,,,
Aaron Bohrod,American,1907,1992,West Side Photographer's Shop,1947,Gouache on cardboard,48.31.2,1948,Not on view,,,,,
Aaron Fink,American,1955,Null,Untitled,1987,Oil on canvas,"1,989.6",1989,Not on view,,,,,
Abraham Rattner,American,1893,1978,Woman Cutting Bread,1946,Oil on canvas,50.33.2,1950,Not on view,,,,,
Abraham Rattner,American,1893,1978,The Survivors,1942,Oil on canvas,51.162,1951,Not on view,,,,,
Abraham Walkowitz,American,1878,1965,Pink Roofs,1916,Watercolor/ gouache/ and graphite on paper,49.70.173,1949,Not on view,,,,,
Abraham Walkowitz,American,1878,1965 ,Lake George/ No. 3,1916,Watercolor/ gouache/ ink/ and graphite on two joined papers,49.70.172,1949,Not on view,,,,,
Abraham Walkowitz,American,1878,1965 ,Provincetown,1916,Watercolor/ graphite/ and oil on paper,49.70.174,1949,Not on view,,,,,
Ad Reinhardt,American,1913,1967,Red Painting,1952,Oil on canvas,68.85,1968,Not on view,,,,,
Ad Reinhardt,American,1913,1967,"Abstract Painting, Gray ",1950,Oil on canvas,"1,976.352",1976,Not on view,,,,,
Adam Cvijanovic,American,1960,Null,Private Joke,1984,Oil and pastel on paper,"1,984.414",1984,Not on view,,,,,
Adán Hernández,American,1951,Null,There is a River,1991,Oil on canvas,1991.140.1,1991,Not on view,,,,,
Adolfo Patiño,Mexican,1954,Null,Saint Frida,1989,Wooden rulers/ gold leaf/ oil paint/ cut and pasted paper/ rose stems and petals/ and metal pin on wood,"1990.187a, c",1990,Not on view,,,,,
Adolfo Riestra,Mexican,1944,1989,Lizard and Woman with Child,1989,Graphite/ ink/ and gouache on paper,1990.26.2,1990,Not on view,,,,,
Adolfo Riestra,Mexican,1944,1989,Three People in Boats,1989,Gouache/ ink/ enamel/ and graphite on paper,1990.26.3,1990,Not on view,,,,,
Adolfo Riestra,Mexican,1944,1989,Beach Story,1989,Gouache/ ink/ and enamel on paper,1990.26.4,1990,Not on view,,,,,
Adolph Gottlieb,American,1903,1974,T,1950,Oil on canvas,52.213,1952,Not on view,,,,,
Adolph Gottlieb,American,1903,1974,Thrust,1959,Oil on canvas,59.164,1959,Not on view,,,,,
Adolph Gottlieb,American,1903,1974,Signs for Magic,1946,Gouache on paper,67.225,1967,Not on view,,,,,
Adolph Gottlieb,American,1903,1974,Cool Note,1965,Oil on canvas,1975.189.4,1975,Not on view,,,,,
Adolph Gottlieb,American,1903,1974,Solitary,1957,Oil on canvas,"1,981.42",1981,Not on view,,,,,
Adolph Gottlieb,American,1903,1974,Pictograph,1948,Gouache/ oil pastel/ ink/ and graphite on paper,"1,994.416",1994,Not on view,,,,,
Afro,Italian,1912,1976,Per non Dimenticare,1955,Oil on canvas,1991.129.1,1991,Not on view,,,,,
