Seymour Lipton,(American/ New York 1903–1986 Locust Valley/ New York),Sentinel,1948,1986.276.2,N,
Dorothy Doughty,(British/ 1893–1963),Plants (Mexican feijoa),1949,63.214.5,N,
Chryssa,(American (born Greece)/ Athens 1933–2013),That's All,1970–73,1977.468,N,
Mimmo Paladino,(Italian/ born Paduli/ 1948),Untitled,1985,1986.8,N,
Nathaniel Choate,(American/ 1899–1965),David and Goliath,1961,62.2.1/2,N,
Donal Hord,(American/ 1902–1966),MAN MUST SOW / TO REAP,1949,50.154.1,N,
Edgardo Simone,(American/ 1890–1948),Theodore Dreiser (1871-1945),1944,47.124,N,
Cornelia Parker,(British/ born Cheshire 1956),Endless Sugar,2011,2013.991a–dd,N,
Raymond Mason,(British/ 1922–2010),Carrefour de l'Odéon,1958,2002.456.112,N,
Arman,(American (born France)/ Nice 1928–2005 New York),Admissions Accumulation,1976,1976.353,N,
Josef Mario Korbel,(American/ 1882–1954),Andante (Dancing Girls),1917;  cast 1926,28.119,774,
Charles Biederman,(American/ 1906–2004),New York/ Number 18,1938,1980.419,N,
Donald De Lue,(American/ 1897–1988),Medal,1957,58.22.1/2,N,
Harold Cousins,(American/ 1916–1992),Torso/ Number 108,1951,1999.441,N,
Seymour Lipton,(American/ New York 1903–1986 Locust Valley/ New York),Guardian,1975,1986.276.4,N,
Laura Gardin Fraser,(American/ 1889–1966),The Sesquicentennial Medallion of the United States Military Academy,1952,52.137,N,
Albert Laessle,(American/ Philadelphia/ Pennsylvania 1877–1954 Miami/ Florida),Abundance of America Medal,1934,34.139.1/2,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Indian Hunter and His Dog,1926,29.162,N,
Martin Puryear,(American/ born Washington/ D.C./ 1941),Tango,1982,1983.257,915,
Rigoberto Torres,(American/ born Puerto Rico/  Aguadilla 1960),José,1982–83,1983.377,N,
Charles Shaw,(American/ 1892–1974),The Polygon,1938,1990.9,N,
Leo Friedlander,(American/ 1889–1966),HARMONY,1949,50.1.1/2,N,
Robert Ingersoll Aitken,(American/ San Francisco 1878–1949 New York),Omnia Vincit Amor (Love Conquers All),1937,37.112.1/2,N,
Jack Earl,(American/ born 1934),Ohio Hybrid,2000–2004,2008.658.28,N,
François Pompon,(French/ Saulieu 1855–1933 Paris),Polar Bear, 1923,30.123ab,N,
Sir Jacob Epstein,(British (born United States)/ New York 1880–1959 London),Peggy Jean, 1932,1970.247,N,
Elie Nadelman,(American (born Poland)/ Warsaw 1882–1946 Riverdale/ New York),Horse, 1914,1984.433.39,N,
Elisabeth Frink,(British/ 1930–1993),Sir John Pope-Hennessy, 1976,1995.438,N,
Ann McCoy,(American/ born Boulder/ Colorado/ 1946),Altar I,1989,1995.222a-p,N,
Raoul Hague,(America (born Turkey) 1904–1993),Big Indian Mountain,1965–66,1974.6,N,
, ,Primitive Man, 1902–3/ cast  1905,07.112,774,
, ,Flying Saucer,1967,68.75.1/2,N,
Alberto Giacometti,(Swiss/ Borgonovo 1901–1966 Chur),Marie-Laure,1946,2002.456.132,N,
Herbert Haseltine,(American (born Italy)/ Rome 1877–1962 Paris),Percheron Mare: Messaline and Foal,1922–24; cast 1925,26.160.2,774,
Royal Copenhagen Porcelain Manufactory, ,Statuette,1913,22.227.3,N,
Joseph Kosuth,(American/ born Toledo/ Ohio 1945),The Square Root of Minus One #3,1988,2011.589a–f,N,
Kiki Smith,(American/ born Nuremberg/ 1954),Untitled,1993–94,1995.42e/f,N,
Magdalena Abakanowicz,(Polish/ 1930),Figure on a Trunk,2000,2000.348a/b,N,
William Morris,(American/ born Carmel/ California/ 1957),Suspended Artifact,1993,1994.386a-d,N,
Carl Walters,(American/ Fort Madison/ Iowa 1883–1955 Saugerties/ New York),Duck,1928,29.130.5,N,
Carl Paul Jennewein,(American (born Germany) 1890–1978),Cupid and Gazelle,1918,33.162,N,
Donal Hord,(American/ 1902–1966),MAN MUST SOW / TO REAP,1949,50.154.2,N,
Gaston Lachaise,(American (born France) 1882–1935),Torso,1930;  cast 1931 or after,1995.226.1,N,
Dorothy Doughty,(British/ 1893–1963),Bird (male goldfinch),1936,60.180.5,N,
Sol LeWitt,(American/ Hartford/ Connecticut 1928–2007 New York),13/3,1981,1982.226,N,
Edgar Degas,(French/ Paris 1834–1917 Paris),Woman Putting on a Stocking,1895–1910,1999.363.17,904,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Dancer and Gazelles,1916,59.54,774,
Ursula von Rydingsvard,(American (born Germany) 1942),Untitled (Seven Mountains),1986–88,1988.257a-u,N,
Edward Francis McCartan,(American/ 1879–1947),THE OLD WORLD AND THE NEW WORLD,1939,39.86.1/2,N,
Marisol,(American/ born Paris/ 1930),Self-Portrait Looking at The Last Supper,1982–84,1986.430.1-129,909,
Joseph A. Kiselewski,(American/ 1901–1986),WORLD PEACE,,46.131.1/2,N,
Waylande Gregory,(American/ Baxter Springs/ Kansas 1905–1971 Warren Township/ New Jersey),Polo player & mallet, 1930,1989.63.5,N,
Richard Artschwager,(American/ Washington D.C. 1923–2013 Albany/ New York),Swivel,1964,1984.538,N,
Louise Bourgeois,(American/ Paris 1911–2010 New York),Point of Contact,1967–68,1973.340,N,
Clara Fasano,(American/ 1900–1990),Heroic Head,1940,66.222,N,
Auguste Renoir,(French/ Limoges 1841–1919 Cagnes-sur-Mer),Washerwoman,1916,1999.363.72,N,
Charles Arnoldi,(American/ born 1946),Hibernating Lies,1987,1987.475,N,
Jan Martel,(French/ Nantes 1896–1966 Paris),Maquette for "Arbre Cubiste (Cubist Tree)",1925,1997.110,913,
John Walker,(British/ born 1939),Passing Bells,1998,2003.433.193a-aa,N,
Gaston Lachaise,(American (born France) 1882–1935),The Mountain,1924,49.70.224a/ b,N,
Bert L. Long/ Jr.,(American/ born 1940),Van Gogh,1987,1989.14a-i,N,
Herzl Emanuel,(American/ 1914–2002),Spain, 1936–37,43.45.2,N,
Lucas Samaras,(American (born Greece)/ Kastoria/ 1936),Untitled (Spoon),1961,2014.40.5,N,
Henry Moore,(British/ Castleford 1898–1986 Much Hadham),Two Forms,1934,1982.500,912,
Gerhard Henning,(Danish/ 1880–1967),Fairy Tale,1921,23.114.3,N,
Ibram Lassaw,(American (born Egypt)/ Alexandria 1913–2003 East Hampton/ New York),Monoceros,1952,2006.32.35,N,
Mike Kelley,(American/ Wayne/ Michigan 1954–2012 South Pasadena/ California),Hibernating Egg: Postoperative State,1994,1995.42g,N,
Rachel Whiteread,(British/ born 1963),Untitled (Pair),1999,2001.725a/b,N,
Juan Hamilton,(American/ born Dallas/ Texas/ 1945),Curve and Shadow/ No. 2,1983,1983.540.1,N,
Robert Arneson,(American/ Benica/ California 1930–1992 Benica/ California),Ground Zero,1983,1992.212a-e,N,
Gaston Lachaise,(American (born France) 1882–1935),The Mountain,1913;  carved 1919,1984.433.29,N,
Hal Reed,(American/  Frederick/ Oklahoma/ 1921),Medal,1970,1971.127.1/2,N,
Elie Nadelman,(American (born Poland)/ Warsaw 1882–1946 Riverdale/ New York),Standing Nude, 1935–46,1970.127.2,N,
Martin Kline,(American/ born Norwalk/ Ohio 1961),Totem,2004,2007.443a/ b,N,
Isamu Noguchi,(American/ Los Angeles/ California 1904–1988 New York),Kouros,1945,53.87a-i,920,
William King,(American/ born 1925),Progress,1978,1982.23,N,
Umberto Mastroianni,(Italian/ 1910–1988),Palma di Cesnola (1832-1904),1971,1972.21,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),James F. Ballard,1925–26; cast 1927,27.147,774,
Jean Arp,(French (born Germany)/ Strasbourg 1886–1966 Basel),Seuil-Configuration,1959,1971.279,N,
Archimede Seguso,(Italian/ Murano 1909–1999 Murano),Snail,1949,49.152,N,
John Gregory,(American (born England)/ London 1879–1958 New York),Philomela,1919–21/ cast 1922,23.106.2,774,
Jo Davidson,(American/ 1883–1952),Marshal Ferdinand Foch,1918,50.145.41,774,
Robert Irwin,(American/ born Long Beach/ California 1928),So. Cal,2010,2011.411a-z,N,
Melvin Edwards,(American/ born 1937),Utonga,1988,1991.71,N,
Walter Dusenbery,(American/ born 1939),Pedogna,1977,1979.300a-h,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Dryad,1913; cast probably 1916–17,52.126.5,774,
Michael Lucero,(American/ born 1953),White House Dreamer,1983,1983.587,N,
F Ziegler,(American),The Centenary of the First Ovariotomy/ performed by Dr. Ephraim McDowell,1909,09.113,N,
Edward Marshall Boehm,(American/ Baltimore/ Maryland 1912–1969),Boehm bird,1940s,1975.432.4,N,
Jill Levine,(American/ born 1953),Fistabust,1987,1988.57,N,
Seymour Lipton,(American/ New York 1903–1986 Locust Valley/ New York),Sentinel,1948,1986.276.2,N,
Dorothy Doughty,(British/ 1893–1963),Plants (Mexican feijoa),1949,63.214.5,N,
Chryssa,(American (born Greece)/ Athens 1933–2013),That's All,1970–73,1977.468,N,
Mimmo Paladino,(Italian/ born Paduli/ 1948),Untitled,1985,1986.8,N,
Nathaniel Choate,(American/ 1899–1965),David and Goliath,1961,62.2.1/2,N,
Donal Hord,(American/ 1902–1966),MAN MUST SOW / TO REAP,1949,50.154.1,N,
Edgardo Simone,(American/ 1890–1948),Theodore Dreiser (1871-1945),1944,47.124,N,
Cornelia Parker,(British/ born Cheshire 1956),Endless Sugar,2011,2013.991a–dd,N,
Raymond Mason,(British/ 1922–2010),Carrefour de l'Odéon,1958,2002.456.112,N,
Arman,(American (born France)/ Nice 1928–2005 New York),Admissions Accumulation,1976,1976.353,N,
Josef Mario Korbel,(American/ 1882–1954),Andante (Dancing Girls),1917;  cast 1926,28.119,774,
Charles Biederman,(American/ 1906–2004),New York/ Number 18,1938,1980.419,N,
Donald De Lue,(American/ 1897–1988),Medal,1957,58.22.1/2,N,
Harold Cousins,(American/ 1916–1992),Torso/ Number 108,1951,1999.441,N,
Seymour Lipton,(American/ New York 1903–1986 Locust Valley/ New York),Guardian,1975,1986.276.4,N,
Laura Gardin Fraser,(American/ 1889–1966),The Sesquicentennial Medallion of the United States Military Academy,1952,52.137,N,
Albert Laessle,(American/ Philadelphia/ Pennsylvania 1877–1954 Miami/ Florida),"Abundance of America" Medal,1934,34.139.1/2,N,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Indian Hunter and His Dog,1926,29.162,N,
Martin Puryear,(American/ born Washington/ D.C./ 1941),Tango,1982,1983.257,915,
Rigoberto Torres,(American/ born Puerto Rico/  Aguadilla 1960),José,1982–83,1983.377,N,
Charles Shaw,(American/ 1892–1974),The Polygon,1938,1990.9,N,
Leo Friedlander,(American/ 1889–1966),HARMONY,1949,50.1.1/2,N,
Robert Ingersoll Aitken,(American/ San Francisco 1878–1949 New York),Omnia Vincit Amor (Love Conquers All),1937,37.112.1/2,N,
Jack Earl,(American/ born 1934),Ohio Hybrid,2000–2004,2008.658.28,N,
François Pompon,(French/ Saulieu 1855–1933 Paris),Polar Bear, 1923,30.123ab,N,
Sir Jacob Epstein,(British (born United States)/ New York 1880–1959 London),Peggy Jean, 1932,1970.247,N,
Elie Nadelman,(American (born Poland)/ Warsaw 1882–1946 Riverdale/ New York),Horse, 1914,1984.433.39,N,
Elisabeth Frink,(British/ 1930–1993),Sir John Pope-Hennessy, 1976,1995.438,N,
Ann McCoy,(American/ born Boulder/ Colorado/ 1946),Altar I,1989,1995.222a-p,N,
Raoul Hague,(America (born Turkey) 1904–1993),Big Indian Mountain,1965–66,1974.6,N,
, ,Primitive Man, 1902–3/ cast  1905,07.112,774,
, ,Flying Saucer,1967,68.75.1/2,N,
Alberto Giacometti,(Swiss/ Borgonovo 1901–1966 Chur),Marie-Laure,1946,2002.456.132,N,
Herbert Haseltine,(American (born Italy)/ Rome 1877–1962 Paris),Percheron Mare: Messaline and Foal,1922–24; cast 1925,26.160.2,774,
Royal Copenhagen Porcelain Manufactory, ,Statuette,1913,22.227.3,N,
Joseph Kosuth,(American/ born Toledo/ Ohio 1945),The Square Root of Minus One #3,1988,2011.589a–f,N,
Kiki Smith,(American/ born Nuremberg/ 1954),Untitled,1993–94,1995.42e/f,N,
Magdalena Abakanowicz,(Polish/ 1930),Figure on a Trunk,2000,2000.348a/b,N,
William Morris,(American/ born Carmel/ California/ 1957),Suspended Artifact,1993,1994.386a-d,N,
Carl Walters,(American/ Fort Madison/ Iowa 1883–1955 Saugerties/ New York),Duck,1928,29.130.5,N,
Carl Paul Jennewein,(American (born Germany) 1890–1978),Cupid and Gazelle,1918,33.162,N,
Donal Hord,(American/ 1902–1966),MAN MUST SOW / TO REAP,1949,50.154.2,N,
Gaston Lachaise,(American (born France) 1882–1935),Torso,1930;  cast 1931 or after,1995.226.1,N,
Dorothy Doughty,(British/ 1893–1963),Bird (male goldfinch),1936,60.180.5,N,
Sol LeWitt,(American/ Hartford/ Connecticut 1928–2007 New York),13/3,1981,1982.226,N,
Edgar Degas,(French/ Paris 1834–1917 Paris),Woman Putting on a Stocking,1895–1910,1999.363.17,904,
Paul Manship,(American/ St. Paul/ Minnesota 1885–1966 New York),Dancer and Gazelles,1916,59.54,774,
Ursula von Rydingsvard,(American (born Germany) 1942),Untitled (Seven Mountains),1986–88,1988.257a-u,N,
Edward Francis McCartan,(American/ 1879–1947),THE OLD WORLD AND THE NEW WORLD,1939,39.86.1/2,N,
Marisol,(American/ born Paris/ 1930),Self-Portrait Looking at The Last Supper,1982–84,1986.430.1-129,909,
Joseph A. Kiselewski,(American/ 1901–1986),WORLD PEACE,,46.131.1/2,N,
Waylande Gregory,(American/ Baxter Springs/ Kansas 1905–1971 Warren Township/ New Jersey),Polo player & mallet, 1930,1989.63.5,N,
Richard Artschwager,(American/ Washington D.C. 1923–2013 Albany/ New York),Swivel,1964,1984.538,N,
Louise Bourgeois,(American/ Paris 1911–2010 New York),Point of Contact,1967–68,1973.340,N,
Clara Fasano,(American/ 1900–1990),Heroic Head,1940,66.222,N,
Auguste Renoir,(French/ Limoges 1841–1919 Cagnes-sur-Mer),Washerwoman,1916,1999.363.72,N,
Charles Arnoldi,(American/ born 1946),Hibernating Lies,1987,1987.475,N,
Jan Martel,(French/ Nantes 1896–1966 Paris),Maquette for "Arbre Cubiste (Cubist Tree)",1925,1997.110,913,
John Walker,(British/ born 1939),Passing Bells,1998,2003.433.193a-aa,N,
Gaston Lachaise,(American (born France) 1882–1935),The Mountain,1924,49.70.224a/ b,N,
