ARTIST NAME,GENDER,NATIONALITY,BIRTH_YEAR,DEATH_YEAR,OBJECT_TITLE,OBJECT_DATE,MEDIUM,PRIMARY_MEDIUM,ACCESSION_NUMBER,ACCESSION_YEAR,STATUS
Judith Rothschild,Female,American,1922-01-01T00:00:00Z,1993-01-01T00:00:00Z,Death of Patroklos,1987-01-01T00:00:00Z,Acrylic and aluminum on canvas/ mounted to aluminum panel,Acrylic,1997.405.1,1997-01-01T00:00:00Z,Not on view
Mark Rothko,Male,American,1903-01-01T00:00:00Z,1970-01-01T00:00:00Z,Untitled,1964-01-01T00:00:00Z,Acrylic and casein on canvas,Acrylic,"1,995.545",1995-01-01T00:00:00Z,Not on view
Clifford Ross,Male,American,1952-01-01T00:00:00Z,Null,Brazilian Landscape,1980-01-01T00:00:00Z,Acrylic and charcoal on canvas,Acrylic,"1,984.262",1984-01-01T00:00:00Z,Not on view
Roberto Juarez,Male,American,1952-01-01T00:00:00Z,Null,Egg Fountain,1986-01-01T00:00:00Z,Acrylic and charcoal on canvas,Acrylic,"1,987.234",1987-01-01T00:00:00Z,Not on view
Chris Baker,Male,British,1944-01-01T00:00:00Z,Null,Distant Prospect,1984-01-01T00:00:00Z,Acrylic and charcoal on canvas,Acrylic,"1,985.72",1985-01-01T00:00:00Z,Not on view
Claude Lawrence,Male,American,1944-01-01T00:00:00Z,Null,Dancing Eyes,2003-01-01T00:00:00Z,Acrylic and crayon on paper,Acrylic,2014.492.5,2014-01-01T00:00:00Z,Not on view
Margo Hoff,Female,American,1912-01-01T00:00:00Z,2008-01-01T00:00:00Z,Disco,1981-01-01T00:00:00Z,Acrylic and cut and pasted canvas on canvas,Acrylic,"1,981.408",1981-01-01T00:00:00Z,Not on view
Malcolm Bailey,Male,American,1947-01-01T00:00:00Z,2011-01-01T00:00:00Z,Untitled #8,1971-01-01T00:00:00Z,Acrylic and cut and pasted papers on Plexiglas,Acrylic,2011.590.1,2011-01-01T00:00:00Z,Not on view
Anselm Kiefer,Male,German,1945-01-01T00:00:00Z,Null,Br√ºnnhilde Sleeps,1980-01-01T00:00:00Z,Acrylic and gouache on photograph,Acrylic,1995.14.30,1995-01-01T00:00:00Z,Not on view
Anselm Kiefer,Male,German,1945-01-01T00:00:00Z,Null,Siegfried's Difficult Way to Br√ºnnhilde,1980-01-01T00:00:00Z,Acrylic and gouache on photograph,Acrylic,1995.14.35,1995-01-01T00:00:00Z,Not on view
Gene Davis,Male,American,1920-01-01T00:00:00Z,1985-01-01T00:00:00Z,King of Clubs,1978-01-01T00:00:00Z,Acrylic and graphite on canvas,Acrylic,"1,981.148",1981-01-01T00:00:00Z,Not on view
Jose González Veites,Male,Mexican,1957-01-01T00:00:00Z,Null,Nominations III,1988-01-01T00:00:00Z,Acrylic and graphite on canvas,Acrylic,"1,990.194",1990-01-01T00:00:00Z,Not on view
Michael Andrews,Male,British,1928-01-01T00:00:00Z,1995-01-01T00:00:00Z,Lights IV: The Pier and the Road,1973-01-01T00:00:00Z,Acrylic and graphite on canvas,Acrylic,"1,981.196",1981-01-01T00:00:00Z,Not on view
Sylvia Plimack Mangold,Female,American,1938-01-01T00:00:00Z,Null,Exact and Diminishing,1976-01-01T00:00:00Z,Acrylic and graphite on canvas with traces of red cont√©,Acrylic,"2,012.567",2012-01-01T00:00:00Z,Not on view
Elmar Rojas,Male,Guatemalan,1938-01-01T00:00:00Z,Null,Rituals,1995-01-01T00:00:00Z,Acrylic and metallic paints on canvas,Acrylic,"1,996.55",1996-01-01T00:00:00Z,Not on view
Julian Schnabel,Male,American,1951-01-01T00:00:00Z,Null,Archetypal Painting for A.G.,1975-01-01T00:00:00Z,Acrylic and modeling paste on canvas,Acrylic,1988.417.5,1988-01-01T00:00:00Z,Not on view
