ARTISTIC_ENTITY,GENDER,NATIONALITY,OBJECT_TITLE,OBJECT_DATE,PRIMARY_MEDIUM,ACCESSION_YEAR,OBJECT_TYPE
A. R. Penck,Male,German,Untitled,1974-01-01T00:00:00Z,Gouache,1992-01-01T00:00:00Z,Painting
A. R. Penck,Male,German,Untitled,1980-01-01T00:00:00Z,Oil Pastel,1986-01-01T00:00:00Z,Painting
A. Robert Birmelin,Male,American,City Crowd/ Cop and Ear,1980-01-01T00:00:00Z,Acrylic,1981-01-01T00:00:00Z,Painting
A. Robert Birmelin,Male,American,The Crowd at Night,1962-01-01T00:00:00Z,Crayon,1967-01-01T00:00:00Z,Painting
A. Sheldon Pennoyer,Male,American,Church of the Spirito Santo/ Ronda,1926-01-01T00:00:00Z,Oil,1926-01-01T00:00:00Z,Painting
Aaron A Shikler,Male,American,"The Gold Screen, George Basso at the Organ",1957-01-01T00:00:00Z,Oil,1957-01-01T00:00:00Z,Painting
Aaron Bohrod,Male,American,Frame Houses,1939-01-01T00:00:00Z,Gouache,1939-01-01T00:00:00Z,Painting
Aaron Bohrod,Male,American,West Side Photographer's Shop,1947-01-01T00:00:00Z,Gouache,1948-01-01T00:00:00Z,Painting
Aaron Bohrod,Male,American,Reflections on a Shop Window,1942-01-01T00:00:00Z,Oil,1942-01-01T00:00:00Z,Painting
Aaron Fink,Male,American,Untitled,1987-01-01T00:00:00Z,Oil,1989-01-01T00:00:00Z,Painting
Abestenia Saint Leger Eberle,Female,American,Girl Skating,1906-01-01T00:00:00Z,Bronze,1909-01-01T00:00:00Z,Sculpture
Abraham Rattner,Male,American,Woman Cutting Bread,1946-01-01T00:00:00Z,Oil,1950-01-01T00:00:00Z,Painting
Abraham Rattner,Male,American,The Survivors,1942-01-01T00:00:00Z,Oil,1951-01-01T00:00:00Z,Painting
Abraham Walkowitz,Male,American,Pink Roofs,1916-01-01T00:00:00Z,Watercolor,1949-01-01T00:00:00Z,Painting
Abraham Walkowitz,Male,American,Lake George/ No. 3,1916-01-01T00:00:00Z,Watercolor,1949-01-01T00:00:00Z,Painting
Abraham Walkowitz,Male,American,Provincetown,1916-01-01T00:00:00Z,Watercolor,1949-01-01T00:00:00Z,Painting
Abram Belskie,Male,American,The Goddess of Art,Null,Bronze,1954-01-01T00:00:00Z,Sculpture
ACT UP New York,Null,American,ACT UP Art Box,1993-01-01T00:00:00Z,Mixed Media,1995-01-01T00:00:00Z,Sculpture
Ad Reinhardt,Male,American,Red Painting,1952-01-01T00:00:00Z,Oil,1968-01-01T00:00:00Z,Painting
Ad Reinhardt,Male,American,"Abstract Painting, Gray ",1950-01-01T00:00:00Z,Oil,1976-01-01T00:00:00Z,Painting
Adam Cvijanovic,Male,American,Private Joke,1984-01-01T00:00:00Z,Oil,1984-01-01T00:00:00Z,Painting
Adan Hernandez,Male,American,There is a River,1991-01-01T00:00:00Z,Oil,1991-01-01T00:00:00Z,Painting
Adlai S. Hardin,Male,American,NATIVITY,Null,Bronze,1961-01-01T00:00:00Z,Sculpture
Adolfo Patino,Male,Mexican,Saint Frida,1989-01-01T00:00:00Z,Oil,1990-01-01T00:00:00Z,Painting
Adolfo Riestra,Male,Mexican,Beach Story,1989-01-01T00:00:00Z,Gouache,1990-01-01T00:00:00Z,Painting
Adolfo Riestra,Male,Mexican,Three People in Boats,1989-01-01T00:00:00Z,Gouache,1990-01-01T00:00:00Z,Painting
Adolfo Riestra,Male,Mexican,Lizard and Woman with Child,1989-01-01T00:00:00Z,Graphite,1990-01-01T00:00:00Z,Painting
Adolph Block,Male,American,Pilgrim Family,1961-01-01T00:00:00Z,Bronze,1961-01-01T00:00:00Z,Sculpture
Adolph Gottlieb,Male,American,Signs for Magic,1946-01-01T00:00:00Z,Gouache,1967-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Pictograph,1948-01-01T00:00:00Z,Gouache,1994-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,T,1950-01-01T00:00:00Z,Oil,1952-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Thrust,1959-01-01T00:00:00Z,Oil,1959-01-01T00:00:00Z,Painting
Adolph Gottlieb,Male,American,Cool Note,1965-01-01T00:00:00Z,Oil,1975-01-01T00:00:00Z,Painting
